Surface Fuels Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,1000-hr sound,1000-hr rotten,,,,,,,
Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,,,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
,,|____________________Average Kilograms per Square Meter_______________________|,,,,,,,,,,Avg. Depth (cm),,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FPIPO1D10-30,00Pre,0.02,0.17,0.34,0.53,0.91,1.03,2.47,5.09,1.08,8.64,3.3,3.1,6.3
FPIPO1D10-30,03Post,0.00,0.23,0.58,0.82,1.09,0.24,2.15,4.86,0.50,7.51,3.1,1.4,4.5
FPIPO1D10-30,03Year01,0.00,0.23,0.58,0.82,1.09,0.26,2.17,4.86,0.50,7.53,3.1,1.4,4.5
FPIPO1D10-30,03Year02,0.00,0.44,0.25,0.69,0.98,0.28,1.95,6.32,1.02,9.30,4.1,2.9,7.0
FPIPO1D10-30,15Post,0.00,0.16,0.25,0.41,0.35,1.38,2.13,8.42,1.05,11.60,5.4,3.0,8.4
FPIPO1D10-30,15Year02,0.00,0.16,0.25,0.41,0.35,1.38,2.13,8.42,1.05,11.60,5.4,3.0,8.4
FPIPO1D10-30,15Year05,0.01,0.30,0.34,0.64,0.00,0.71,1.35,6.34,0.95,8.64,4.1,2.7,6.8
FPIPO1D10-31,00Pre,0.02,0.23,0.62,0.87,0.94,2.00,3.81,5.35,1.04,10.20,3.4,3.0,6.4
FPIPO1D10-31,03Post,0.00,0.16,0.33,0.50,0.83,1.49,2.82,4.27,0.59,7.68,2.7,1.7,4.4
FPIPO1D10-31,03Year01,0.00,0.16,0.33,0.50,0.83,1.49,2.82,4.19,0.59,7.60,2.7,1.7,4.4
FPIPO1D10-31,03Year02,0.00,0.17,0.41,0.59,0.94,0.45,1.99,4.07,0.66,6.72,2.6,1.9,4.5
FPIPO1D10-31,15Post,0.02,0.35,0.45,0.81,0.58,1.08,2.47,7.20,0.68,10.36,4.6,1.9,6.6
FPIPO1D10-31,15Year02,0.02,0.35,0.45,0.81,0.58,1.08,2.47,7.20,0.68,10.36,4.6,1.9,6.6
FPIPO1D10-31,15Year05,0.01,0.16,0.43,0.60,0.42,0.41,1.43,6.37,0.78,8.58,4.1,2.2,6.3
FPIPO1D10-32,00Pre,0.05,0.46,0.41,0.92,4.22,0.26,5.39,1.67,0.95,8.01,1.1,2.7,3.8
FPIPO1D10-32,10Post,0.02,0.82,1.06,1.90,2.53,3.78,8.21,3.52,0.34,12.07,2.3,1.0,3.2
FPIPO1D10-32,10Year01,0.02,0.82,1.06,1.90,2.37,3.78,8.05,3.52,0.34,11.91,2.3,1.0,3.2
FPIPO1D10-32,10Year02,0.02,0.64,0.49,1.14,1.14,3.30,5.58,3.95,0.72,10.24,2.5,2.0,4.6
FPIPO1D10-32,19Post,0.01,0.49,0.57,1.06,0.39,1.51,2.96,3.93,0.84,7.73,2.5,2.4,4.9
FPIPO1D10-32,19Year02,0.01,0.49,0.57,1.06,0.43,1.67,3.16,3.93,0.84,7.92,2.5,2.4,4.9
