MacroPlot Purpose,MacroPlot UTM X,MacroPlot UTM Y,MacroPlot UTM Zone,MacroPlot Name,Monitoring Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483627,3,5,FALSE,0.2,0.5,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483626,3,10,FALSE,0.9,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483625,3,15,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483624,3,20,FALSE,0.5,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483623,3,25,FALSE,0.3,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483622,3,30,FALSE,0.1,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483621,3,35,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483620,3,40,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483619,3,45,FALSE,0.4,0.9,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483618,4,1,FALSE,0.3,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483617,4,5,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483616,4,10,FALSE,0.5,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483615,4,15,FALSE,1.2,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483614,4,20,FALSE,1,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483613,4,25,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483612,4,30,FALSE,0,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483611,4,35,FALSE,0.2,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483610,4,40,FALSE,0.3,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483609,4,45,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year15,8/27/2019 14:07,,,,,,,,,,,,,4,jb; iw,jb; iw,,,,,TRUE
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year15,8/27/2019 14:07,-2147483648,1,1,FALSE,0.4,0.4,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year15,8/27/2019 14:07,-2147483647,1,5,FALSE,0.5,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year15,8/27/2019 14:07,-2147483646,1,10,FALSE,1.3,0.9,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year15,8/27/2019 14:07,-2147483645,1,15,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year15,8/27/2019 14:07,-2147483644,1,20,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year15,8/27/2019 14:07,-2147483643,1,25,FALSE,0.3,0.1,,LARO,,,,,,,,,,,,
